feature,importance
land,0.1419061
num_failed_logins,0.11669861
wrong_fragment,0.091441326
same_srv_rate,0.066550665
dst_host_srv_rerror_rate,0.060983755
root_shell,0.054912087
num_access_files,0.05214198
diff_srv_rate,0.031141123
dst_host_srv_serror_rate,0.028929664
logged_in,0.027258253
srv_serror_rate,0.026722927
protocol_type,0.02479286
count,0.019688744
dst_bytes,0.018481284
srv_diff_host_rate,0.017811824
src_bytes,0.016907772
num_compromised,0.016649382
flag,0.01651511
dst_host_srv_diff_host_rate,0.01618489
service,0.015394814
num_root,0.0143805435
srv_count,0.0137602035
hot,0.013334272
num_file_creations,0.011793135
dst_host_diff_srv_rate,0.010029128
num_shells,0.0098043
dst_host_same_src_port_rate,0.009299624
dst_host_same_srv_rate,0.008969287
serror_rate,0.0069789095
rerror_rate,0.0067468304
dst_host_count,0.0057386393
duration,0.0056959596
srv_rerror_rate,0.004540231
is_guest_login,0.004452541
dst_host_serror_rate,0.0042572846
dst_host_srv_count,0.0040210574
dst_host_rerror_rate,0.0034318063
urgent,0.0016531023
num_outbound_cmds,0.0
su_attempted,0.0
is_host_login,0.0
